id,text,created_at,lang,source,name,screen_name,bio,us_created_at,followers_count,friends_count,statuses_count,favourites_count,country,country_code,locality,region,sub_region,coordinates,date
1521032726001901570,@UhKBMxEiE3vRxJa الله وكيلك صابهم اسهال,2022-05-02T07:43:55+00:00,ar,twitter,al Mh,@mh89al89,"أثق بي جداً انا صلب
بما يكفي للتجاوز دائماً ..",2021-11-09T02:32:56+00:00,181,339,5566,9045,Iraq,IQ,,,,"33.0, 44.0",2022-05-02
1520932713791905792,يارب قلبا ، سليما ، عفيفا ، تقيا ، نقيا ، يخشاك سرا وعلانيه.,2022-05-02T01:06:31+00:00,ar,twitter,N,@nahed_66x,skylover☁️.,2020-01-30T23:25:58+00:00,141,276,3536,12186,Iraq,IQ,Al Kūt,Wāsiţ,,"32.5128, 45.81817",2022-05-02
1520864415922466817,@Falah_Almashal يمعود اصلا غلط الكيمير يوم العيد اسهال ومغص,2022-05-01T20:35:07+00:00,ar,twitter,Hasanain,@Hasanai04947563,Master in business engineering management / industry ministry,2020-06-26T22:12:23+00:00,14,241,462,120,Iraq,IQ,,,,"33.0, 44.0",2022-05-01
1520846958407077894,"اللهُم قلبًا سليمًا عفيفًا تقيًا نقيًا يخشاك سرًا وعلانية .
عيد سعيد",2022-05-01T19:25:45+00:00,ar,twitter,عـَبّٰآْسِْٓ اَلًسَّبِْٓعٌَ 🇮🇶,@ab22220,إن في قلبي أُمنية .. وانت يا ربّي مُجيب,2013-01-13T16:17:59+00:00,2518,4675,273,5099,Iraq,IQ,,,,"33.0, 44.0",2022-05-01
1520832348572553217,@emad_bajalan هاي مو من الصوم، ،، الصوم يزكي الانفس، ، هاي من المهلة مالت السيد راح تخلص وهمه كلشي ممسوين صار عدهم اسهال 😜,2022-05-01T18:27:42+00:00,ar,twitter,عمار اللامي,@ammarallami0388,"‏العراق حر 
🇮🇶🇵🇸",2020-01-19T16:42:22+00:00,307,509,4915,14291,Iraq,IQ,,,,"33.0, 44.0",2022-05-01
1520573085761552384,@obwiro جاني اسهال في المخ لما قريته,2022-05-01T01:17:29+00:00,ar,twitter,zeez. ★⁵,@16Zeez,"they told me all of my cages were mental, so I got wasted like all my potential.
#chan | mostly ot8
arab/مياو",2022-01-14T18:18:30+00:00,206,735,9694,57775,,,,,,,2022-05-01
1520573071731666945,"@Abdul_Latif_jr الله يساعدكم 
اراوخو مسوي بيكم اسهال",2022-05-01T01:17:25+00:00,ar,twitter,Αԋɱҽԃ | ҒCΒ,@y_y__3,اللـهـم صـلِ عـــــلى مـحـــمـد وآل مـــحــمــد ❤,2022-02-10T20:50:10+00:00,492,740,37163,17154,Iraq,IQ,,,,"33.0, 44.0",2022-05-01
1520572204437680129,"@raeid20042004 اراوخو مسوي عدكم اسهال 😂😂😂
حقكم حط فريقكم وتاريخه في جيبه",2022-05-01T01:13:59+00:00,ar,twitter,Αԋɱҽԃ | ҒCΒ,@y_y__3,اللـهـم صـلِ عـــــلى مـحـــمـد وآل مـــحــمــد ❤,2022-02-10T20:50:10+00:00,492,740,37163,17154,Iraq,IQ,,,,"33.0, 44.0",2022-05-01
1520551829574197248,@emad_bajalan اعراض ال ( 12 ) هو اسهال مصحوب بتغير لون الوجه الى الاصفر. 😊 مصاب به حاليا قادة الاطار 😁😜😜😜,2022-04-30T23:53:01+00:00,ar,twitter,عمار اللامي,@ammarallami0388,"‏العراق حر 
🇮🇶🇵🇸",2020-01-19T16:42:22+00:00,307,509,4915,14291,Iraq,IQ,,,,"33.0, 44.0",2022-04-30
1520439891053662208,@Shallow1900 هذا من كد ما حلو يسوي اسهال,2022-04-30T16:28:13+00:00,ar,twitter,Ali mo,@loverxAliAlTemi,"""I don't fight cause I want to win || I fight cause I have to win"". || ......""People Die when they're Forgotten "" . | ♏️ | RMA=🖤 |Bushido 🖤|.",2012-10-23T13:54:14+00:00,7329,559,61068,65072,Iraq,IQ,,,,"33.0, 44.0",2022-04-30
